A & N ISLANDS,380581
ANDHRA PRADESH,84580777
ARUNACHAL PRADESH,1383727
ASSAM,31205576
BIHAR,104099452
CHANDIGARH,1055450
CHHATTISGARH,25545198
D & N Haveli,343709
DAMAN & DIU,243247
GOA,1458545
GUJARAT,60439692
HARYANA,25351462
HIMACHAL PRADESH,6864602
JAMMU & KASHMIR,12541302
JHARKHAND,32988134
KARNATAKA,61095297
KERALA,33406061
LAKSHADWEEP,64473
MADHYA PRADESH,72626809
MAHARASHTRA,112374333
MANIPUR,2855794
MEGHALAYA,2966889
MIZORAM,1097206
NAGALAND,1978502
Delhi (Ut),16787941
ODISHA,41974218
PUDUCHERRY,1247953
PUNJAB,27743338
RAJASTHAN,68548437
SIKKIM,610577
TAMIL NADU,72147030
TRIPURA,3673917
UTTAR PRADESH,199812341
UTTARAKHAND,10086292
WEST BENGAL,91276115
